id,name,dateOfBirth,sex,breed,horseFromPolishBreeding,breeders.name,suffix,mother.name,mother.sex,mother.breed,mother.suffix,father.name,father.sex,father.breed,father.suffix,color.id,color.polishName,color.polishShortName,color.englishName,color.englishShortName,trainer,raceOwners.name,horseCareerData.data.raceYear,horseCareerData.data.horseAge,horseCareerData.data.raceType,horseCareerData.data.raceCount,horseCareerData.data.raceWonCount,horseCareerData.data.racePrizeCount,horseCareerData.data.prize,horseCareerData.recordCount,races.raceId,races.raceDate,races.name,races.order,races.place,races.prize,races.jockey,races.trainer,races.country,races.city
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21140,23.06.2013,,1,2,2320,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24861,6.07.2013,,14,4,580,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29844,3.08.2013,,11,1,3800,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47636,22.09.2013,,13,1,4800,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60092,27.10.2013,,8,4,480,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62405,3.11.2013,,7,3,1160,Szczepan Mazur S.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,26.04.2014,,11,5,240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8668,17.05.2014,,8,4,480,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15715,8.06.2014,,7,1,4800,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27970,27.07.2014,,9,5,240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33868,10.08.2014,,9,2,1520,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47500,20.09.2014,,8,3,1800,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55409,11.10.2014,,9,1,3800,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59247,25.10.2014,,9,5,240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70141,23.11.2014,,9,8,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,19.04.2015,,11,1,5000,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9257,17.05.2015,,7,6,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32272,2.08.2015,,9,7,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
